Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),Weather Type,Cloud Cover_cloudy,Cloud Cover_overcast,Cloud Cover_partly cloudy,Season_Spring,Season_Summer,Season_Winter,Location_inland,Location_mountain
1.2300318404704351,1.3500607908131792,-0.10811840262125608,0.5411768246992716,0.41663307701195035,0.7815104706250843,1.8131109598310167,Cloudy,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.8069734376366137,-0.6824404889087279,-1.0224101351584316,-0.8694552980066851,0.3055753686431316,-0.5167532111221024,-0.038592561487156514,Cloudy,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.9882841817082515,-1.1781725083530954,-0.5652642688898438,1.0113875322679238,0.1128109176886828,-0.5167532111221024,-1.519955378541695,Cloudy,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-0.40176485617430496,-0.4841476811309809,0.2575982903936141,-0.9008026785112618,0.78550332266554,-0.25710047477266507,0.1465777906446608,Cloudy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.5226386855553968,-0.9303064986309116,-0.47383509563612625,-0.24250768791514876,-0.4551699336832825,-0.5167532111221024,1.2575999034355647,Cloudy,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.8674103523271596,-0.8807332966864749,-1.5709851746807368,-0.8381079175021082,0.23814747427634592,-0.25710047477266507,0.1465777906446608,Cloudy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44435194949333806,0.20987714609113373,0.8061733299159194,-0.7754131564929546,0.4634359683959558,-0.7764059474715398,1.442770255567382,Cloudy,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1.1695949257798892,0.7056091655355012,-0.3824059223824087,1.4815982398365761,0.9330514209269741,0.0025522615767722494,1.2575999034355647,Cloudy,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.504788864183884,-0.2362816714087971,0.4404566369010492,-0.5246341124563401,0.8799023747790328,-0.25710047477266507,1.0724295513037474,Cloudy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.5652257788744299,-0.7320136908531647,1.080460849677072,-0.46193935144718645,1.0060322007121958,-0.25710047477266507,1.2575999034355647,Cloudy,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.8674103523271596,-0.13713526751992358,-0.016689229367538534,-1.1202343420432996,0.6474744565500052,-0.25710047477266507,0.3317481427764781,Cloudy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.38391503480279215,-0.6824404889087279,-0.10811840262125608,-0.5246341124563401,0.659373496732377,0.0025522615767722494,0.8872591991719301,Cloudy,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.3509056698515272,0.8047555694243748,-0.016689229367538534,1.4815982398365761,0.9290850741995108,-0.25710047477266507,0.8872591991719301,Cloudy,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.5226386855553968,-0.2362816714087971,0.897602503169637,-1.1202343420432996,0.4586763523230107,-0.7764059474715398,1.2575999034355647,Cloudy,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
